ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,month
823C73167DB90C8A,classic_bike,2021-01-08 09:50:37,2021-01-08 09:53:49,Lincoln Ave & Diversey Pkwy,TA1307000064,Racine Ave & Wrightwood Ave,TA1309000059,41.932225,-87.658617,41.928887,-87.658971,member,1
324DACCB7150CA3F,electric_bike,2021-01-26 15:15:09,2021-01-26 15:18:45,,,,,41.8,-87.6,41.79,-87.6,member,1
6101CDC8FCAEE5E0,classic_bike,2021-01-20 20:08:02,2021-01-20 20:16:07,Clark St & North Ave,13128,Michigan Ave & Oak St,13042,41.911974,-87.631942,41.90096039,-87.62377664,member,1
001573211F64E6EA,classic_bike,2021-01-11 09:58:57,2021-01-11 10:02:09,Calumet Ave & 33rd St,13217,State St & 33rd St,13216,41.8349,-87.61793,41.834734,-87.625813,member,1
4E26C83F6CC379F7,classic_bike,2021-01-29 15:38:27,2021-01-29 15:58:02,Honore St & Division St,TA1305000034,Clark St & Randolph St,TA1305000030,41.903119,-87.673935,41.884576228,-87.63188991,member,1
7157CC275A9B1637,electric_bike,2021-01-22 19:53:27,2021-01-22 19:58:30,Paulina St & 18th St,TA1307000159,Racine Ave & 18th St,13164,41.857904833333336,-87.668777,41.85813683333333,-87.65647616666666,casual,1
29AA163AB83B2427,classic_bike,2021-01-22 07:15:03,2021-01-22 07:21:33,State St & 33rd St,13216,Indiana Ave & 31st St,TA1308000036,41.834734,-87.625813,41.838842,-87.621857,member,1
DFC40AA910417452,electric_bike,2021-01-16 19:03:32,2021-01-16 19:13:16,Clark St & Drummond Pl,TA1307000142,Greenview Ave & Fullerton Ave,TA1307000001,41.9312465,-87.64420033333333,41.925569,-87.66573133333333,member,1
C776E8086F0EEFC9,classic_bike,2021-01-05 17:26:55,2021-01-05 17:32:09,Dearborn St & Monroe St,TA1305000006,Clinton St & Washington Blvd,WL-012,41.881319815,-87.6295209193,41.88338,-87.64117,member,1
2EFFAE87F08D3BC6,docked_bike,2021-01-22 14:27:39,2021-01-22 14:38:11,Lake Park Ave & 56th St,TA1309000063,Ellis Ave & 60th St,KA1503000014,41.793242,-87.587782,41.785097,-87.601073,casual,1
A6802B057A488716,classic_bike,2021-01-21 12:27:01,2021-01-21 12:35:26,Dearborn St & Erie St,13045,Wells St & Evergreen Ave,TA1308000049,41.893992,-87.629318,41.906724,-87.63483,member,1
BE02B2D63A66BFFD,classic_bike,2021-01-20 07:49:22,2021-01-20 08:01:19,Wilton Ave & Diversey Pkwy,TA1306000014,Larrabee St & Armitage Ave,TA1309000006,41.932418,-87.652705,41.918084,-87.643749,member,1
CB38C7F01CDACF2C,classic_bike,2021-01-15 08:40:18,2021-01-15 08:47:58,Sedgwick St & Huron St,TA1307000062,Rush St & Hubbard St,KA1503000044,41.894666,-87.638437,41.890173,-87.626185,member,1
95FD0876376B18FF,docked_bike,2021-01-04 13:34:54,2021-01-04 14:26:46,Lake Shore Dr & Monroe St,13300,Lake Shore Dr & Monroe St,13300,41.880958,-87.616743,41.880958,-87.616743,casual,1
2FA3B5AD2A872EF4,electric_bike,2021-01-13 22:26:08,2021-01-13 22:35:41,Racine Ave & Belmont Ave,TA1308000019,W Oakdale Ave & N Broadway,20252.0,41.9396375,-87.65886633333334,41.94,-87.64,casual,1
26B5D49CADD2675A,electric_bike,2021-01-17 18:10:50,2021-01-17 18:14:30,,,Broadway & Belmont Ave,13277,41.93,-87.64,41.94005083333333,-87.64535566666666,member,1
5678521E7C199149,classic_bike,2021-01-04 06:01:59,2021-01-04 06:21:27,Larrabee St & Webster Ave,13193,Ashland Ave & Augusta Blvd,13248,41.921822,-87.64414,41.899643,-87.6677,member,1
8A13F2852CF2D7A9,docked_bike,2021-01-14 15:38:48,2021-01-14 16:02:49,Clark St & Armitage Ave,13146,LaSalle Dr & Huron St,KP1705001026,41.918306,-87.636282,41.894877,-87.632326,casual,1
4805E2FAD473ECAA,electric_bike,2021-01-02 18:30:33,2021-01-02 18:37:04,Lake Shore Dr & Diversey Pkwy,TA1309000039,Sedgwick St & Webster Ave,13191,41.9324985,-87.63644983333333,41.92215933333333,-87.638927,casual,1
