ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,month,start_point,end_point,start_suburb,end_suburb,ride_length_mins,ride_distance_km,ride_speed_kmh,season,ride_at_weekend,date,year_month,time_of_day
8681DEAC5F1A1ABF,electric_bike,2021-04-30 18:52:33,2021-04-30 19:28:50,Calumet Park,20224,Calumet Park,20224,41.7137,-87.5309,41.7137,-87.5309,casual,4,"41.7137,-87.5309","41.7137,-87.5309",EAST SIDE,EAST SIDE,36.28333333333333,0.0,0.0,Spring,Yes,2021-04-30,2021-04,afternoon
57B1E6E86746FF50,electric_bike,2021-06-04 02:36:40,2021-06-04 03:33:00,Millennium Park,13008,Millennium Park,13008,41.8811,-87.6241,41.881,-87.6242,casual,6,"41.8811,-87.6241","41.881,-87.6242",LOOP,LOOP,56.333333333333336,0.013865991335753646,0.014768511481867789,Spring,Yes,2021-06-04,2021-06,night
50ABF31B48E78ED2,docked_bike,2020-09-07 15:15:43,2020-09-07 16:01:10,Montrose Harbor,249.0,Montrose Harbor,249.0,41.964,-87.6382,41.964,-87.6382,casual,9,"41.964,-87.6382","41.964,-87.6382",UPTOWN,UPTOWN,45.45,0.0,0.0,Summer,Yes,2020-09-07,2020-09,afternoon
1056F03F5E15BF36,docked_bike,2020-10-10 16:49:35,2020-10-10 17:01:26,Millennium Park,90.0,Field Museum,97.0,41.881,-87.6241,41.8653,-87.6179,casual,10,"41.881,-87.6241","41.8653,-87.6179",LOOP,NEAR SOUTH SIDE,11.85,1.8181830075202647,9.205989911495012,Fall,No,2020-10-10,2020-10,afternoon
05797EEDFFE23A2D,docked_bike,2020-11-07 17:32:34,2020-11-07 17:51:12,Lincoln Ave & Addison St,330.0,Clark St & Wrightwood Ave,340.0,41.9462,-87.6733,41.9295,-87.6431,casual,11,"41.9462,-87.6733","41.9295,-87.6431",LAKE VIEW,LINCOLN PARK,18.633333333333333,3.116619813161339,10.035627305349573,Fall,No,2020-11-07,2020-11,afternoon
5FFD8218743EECA4,classic_bike,2021-05-24 13:18:25,2021-05-24 13:28:05,State St & Van Buren St,TA1305000035,Fairbanks Ct & Grand Ave,TA1305000003,41.8772,-87.6278,41.8918,-87.6206,casual,5,"41.8772,-87.6278","41.8918,-87.6206",LOOP,NEAR NORTH SIDE,9.666666666666666,1.7282466692475462,10.727048291881323,Spring,Yes,2021-05-24,2021-05,afternoon
6D56EEF893CF7BEE,classic_bike,2021-05-19 16:42:06,2021-05-19 16:59:35,Lincoln Ave & Addison St,TA1309000050,Wilton Ave & Belmont Ave,TA1307000134,41.9462,-87.6733,41.9402,-87.653,member,5,"41.9462,-87.6733","41.9402,-87.653",LAKE VIEW,LAKE VIEW,17.483333333333334,1.8104838688666445,6.2132906843850515,Spring,Yes,2021-05-19,2021-05,afternoon
ED6E85196CEB44B9,classic_bike,2021-06-10 15:30:44,2021-06-10 15:40:02,State St & Van Buren St,TA1305000035,Wabash Ave & 9th St,TA1309000010,41.8772,-87.6278,41.8708,-87.6257,member,6,"41.8772,-87.6278","41.8708,-87.6257",LOOP,LOOP,9.3,0.7319175104444148,4.722048454480095,Spring,Yes,2021-06-10,2021-06,afternoon
ABBB577D7D010142,docked_bike,2020-09-27 11:26:36,2020-09-27 12:06:06,Lincoln Ave & Addison St,330.0,Broadway & Granville Ave,454.0,41.9462,-87.6733,41.9948,-87.6603,member,9,"41.9462,-87.6733","41.9948,-87.6603",LAKE VIEW,EDGEWATER,39.5,5.504632345002369,8.361466853168155,Fall,No,2020-09-27,2020-09,morning
785A48A674CE8865,classic_bike,2021-05-11 17:45:48,2021-05-11 17:54:24,State St & Van Buren St,TA1305000035,Clinton St & Madison St,TA1305000032,41.8772,-87.6278,41.8822,-87.6411,member,5,"41.8772,-87.6278","41.8822,-87.6411",LOOP,NEAR WEST SIDE,8.6,1.235802863530531,8.621880443236261,Spring,Yes,2021-05-11,2021-05,afternoon
